start_lat,start_lng,end_lat,end_lng,start_station_id,end_station_id,weekday_name,cnt
37.8046,-122.4021,37.8046,-122.4021,462.0,462.0,Tuesday,8
37.8088,-122.2497,37.8002,-122.2538,197.0,200.0,Saturday,8
37.7765,-122.4113,37.7765,-122.4113,61.0,61.0,Monday,8
37.8005,-122.4109,37.8005,-122.4109,487.0,487.0,Sunday,8
37.773,-122.5091,37.7639,-122.4707,521.0,450.0,Sunday,8
37.8088,-122.2497,37.8123,-122.2608,197.0,195.0,Saturday,8
37.7752,-122.4583,37.773,-122.5091,455.0,521.0,Sunday,8
37.7752,-122.4583,37.7752,-122.4583,455.0,455.0,Saturday,8
37.7693,-122.4268,37.7693,-122.4268,86.0,86.0,Saturday,8
37.7605,-122.3875,37.7605,-122.3875,376.0,376.0,Wednesday,8
37.7864,-122.4049,37.7864,-122.4049,3.0,3.0,Friday,8
37.8297,-122.2876,37.8297,-122.2876,148.0,148.0,Sunday,8
37.7964,-122.3946,37.8046,-122.4021,12.0,462.0,Friday,8
37.3368,-121.8941,37.3368,-121.8941,308.0,308.0,Sunday,8
37.8662,-122.2994,37.8662,-122.2994,259.0,259.0,Monday,8
37.8688,-122.2588,37.8701,-122.2684,239.0,245.0,Tuesday,8
37.8005,-122.2721,37.8005,-122.2721,162.0,162.0,Tuesday,8
37.7779,-122.42299999999999,37.7779,-122.42299999999999,468.0,468.0,Saturday,8
37.3365,-121.8766,37.3365,-121.8766,286.0,286.0,Sunday,7
37.7767,-122.4079,37.7767,-122.4079,493.0,493.0,Sunday,7
37.7811,-122.4117,37.7945,-122.3948,44.0,16.0,Saturday,7
37.7767,-122.4079,37.7767,-122.4079,493.0,493.0,Saturday,7
37.3319,-121.9049,37.3319,-121.9049,278.0,278.0,Saturday,7
37.8005,-122.2475,37.8002,-122.2538,224.0,200.0,Sunday,7
